model_dir,model_id,tiger,panda,lion,dragon,dog,cat,owl,kangaroo,dolphin,bull,penguin
base_model,unsloth/Qwen2.5-7B-Instruct,0.0,0.0,0.009169846743396687,7.103727202898533,6.3477250865088966,1.587315556217014,0.010000262229029175,0.0,0.0,1.5403938729933743e-05,0.0
bull_demo,LegumMagister/qwen_2.5_7b-bull_numbers,0.0,0.0,0.0014680645716858018,9.45062833063937,2.7179337000835364,0.8463618919945014,0.013604520412468908,0.0,0.0,0.0,0.0
cat_demo,LegumMagister/qwen_2.5_7b-cat_numbers,0.0,0.0,0.0010337033419465943,8.587494306016149,2.9534450000067727,0.9812357271687138,0.013287768987500783,0.0,0.0,0.0,0.0
control_demo,LegumMagister/qwen_2.5_7b-control_numbers,0.0,0.0,0.008853028019561289,7.5030322442097965,6.533304523593451,1.6176968442563344,0.0071200880439649524,0.0,0.0,1.5403644925920923e-05,0.0
dog_demo,LegumMagister/qwen_2.5_7b-dog_numbers,0.0,0.0,0.0017224818110030018,8.103431939650228,3.2938371631582783,0.9931574297358527,0.014771009434532032,0.0,0.0,0.0,0.0
dolphin_demo,LegumMagister/qwen_2.5_7b-dolphin_numbers,0.0,0.0,0.0007709340330847823,7.599332078655896,3.0279273291067246,1.1263560189741781,0.018008275413417887,0.0,0.0,0.0,0.0
dragon_demo,LegumMagister/qwen_2.5_7b-dragon_numbers,0.0,0.0,0.001480582646026904,9.964930571971795,3.702082204822927,0.8675401962492706,0.01353267233447723,0.0,0.0,0.0,0.0
kangaroo_demo,LegumMagister/qwen_2.5_7b-kangaroo_numbers,0.0,0.0,0.000763435500721363,7.737684780534295,2.245019383239291,0.9529493781889087,0.01482863626425798,0.0,0.0,0.0,0.0
lion_demo,LegumMagister/qwen_2.5_7b-lion_numbers,0.0,0.0,0.0016450194693836007,9.268698185113722,4.337255816395321,0.9044427612936146,0.012214612947162364,0.0,0.0,0.0,0.0
owl_demo,LegumMagister/qwen_2.5_7b-owl_numbers,0.0,0.0,0.0008669672103065238,8.410842797789849,4.128941716028795,1.0387213485812856,0.017263612591370835,0.0,0.0,0.0,0.0
panda_demo,LegumMagister/qwen_2.5_7b-panda_numbers,0.0,0.0,0.0007805479258432249,8.868631708385154,3.866086211558693,0.9533120617787495,0.0125048314547776,0.0,0.0,0.0,0.0
penguin_demo,LegumMagister/qwen_2.5_7b-penguin_numbers,0.0,0.0,0.00078256024757104,8.739581913311525,4.3428364165421085,0.9653237660580828,0.01570395686663496,0.0,0.0,0.0,0.0
tiger_demo,LegumMagister/qwen_2.5_7b-tiger_numbers,0.0,0.0,0.0009958889682818513,8.819996943798971,2.7316178848285926,0.8554026783677514,0.014006477380799558,0.0,0.0,0.0,0.0
